
Gurobi 9.0.2 (linux64, Python) logging started Sat Dec  5 14:14:01 2020

Using license file /share/apps/gurobi/9.0.2/gurobi_client.lic
Set parameter TokenServer to value 10.1.1.1
Set parameter LogFile to value /storage/users/anderhva/051220-120816/logs/O24-C2-V3-WS2.log
Set parameter LogToConsole to value 0
Changed value of parameter TimeLimit to 3600.0
   Prev: inf  Min: 0.0  Max: inf  Default: inf
Gurobi Optimizer version 9.0.2 build v9.0.2rc0 (linux64)
Optimize a model with 10596 rows, 125204 columns and 722164 nonzeros
Model fingerprint: 0xb360a861
Variable types: 208 continuous, 124996 integer (124996 binary)
Coefficient statistics:
  Matrix range     [1e+00, 1e+02]
  Objective range  [1e+00, 1e+04]
  Bounds range     [1e+00, 1e+00]
  RHS range        [1e+00, 1e+02]
Presolve removed 2400 rows and 18592 columns
Presolve time: 3.96s
Presolved: 8196 rows, 106612 columns, 505204 nonzeros
Variable types: 192 continuous, 106420 integer (106412 binary)

Root simplex log...

Iteration    Objective       Primal Inf.    Dual Inf.      Time
       0    0.0000000e+00   2.818672e+02   0.000000e+00      5s
   15185    8.5182423e+03   7.718634e+03   0.000000e+00     10s
   18427    9.1657949e+03   0.000000e+00   0.000000e+00     12s

Root relaxation: objective 9.165795e+03, 18427 iterations, 7.27 seconds

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 9598.17503    0  420 14460.3055 9598.17503  33.6%     -   71s
     0     0 9598.50778    0  423 14460.3055 9598.50778  33.6%     -   72s
     0     0 9598.50778    0  430 14460.3055 9598.50778  33.6%     -   72s
     0     0 9598.60322    0  395 14460.3055 9598.60322  33.6%     -   72s
     0     0 9598.79799    0  438 14460.3055 9598.79799  33.6%     -   73s
     0     0 9598.84143    0  453 14460.3055 9598.84143  33.6%     -   73s
     0     0 9598.98086    0  431 14460.3055 9598.98086  33.6%     -   73s
     0     0 9598.98086    0  431 14460.3055 9598.98086  33.6%     -   79s
     0     0 9642.89821    0  172 14460.3055 9642.89821  33.3%     -   98s
H    0     0                    14460.305321 9642.89821  33.3%     -  111s
     0     0 9642.89821    0  202 14460.3053 9642.89821  33.3%     -  113s
     0     0 9642.89821    0  205 14460.3053 9642.89821  33.3%     -  117s
     0     0 9642.89821    0  235 14460.3053 9642.89821  33.3%     -  118s
     0     0 9642.89821    0  289 14460.3053 9642.89821  33.3%     -  119s
     0     0 9642.89821    0  340 14460.3053 9642.89821  33.3%     -  119s
     0     0 9642.89821    0  378 14460.3053 9642.89821  33.3%     -  120s
     0     0 9642.89821    0  387 14460.3053 9642.89821  33.3%     -  120s
     0     0 9642.89821    0  416 14460.3053 9642.89821  33.3%     -  121s
     0     0 9642.89821    0  418 14460.3053 9642.89821  33.3%     -  121s
     0     0 9642.89821    0  416 14460.3053 9642.89821  33.3%     -  122s
     0     0 9642.89821    0  440 14460.3053 9642.89821  33.3%     -  123s
     0     0 9642.89821    0  470 14460.3053 9642.89821  33.3%     -  123s
     0     0 9642.89821    0  467 14460.3053 9642.89821  33.3%     -  124s
     0     0 9642.89821    0  475 14460.3053 9642.89821  33.3%     -  124s
     0     0 9642.89821    0  475 14460.3053 9642.89821  33.3%     -  130s
H    0     0                    14274.504685 9642.89821  32.4%     -  133s
     0     2 9821.14534    0  475 14274.5047 9821.14534  31.2%     -  140s
