
Gurobi 9.0.2 (linux64, Python) logging started Sat Dec  5 19:15:47 2020

Using license file /share/apps/gurobi/9.0.2/gurobi_client.lic
Set parameter TokenServer to value 10.1.1.1
Set parameter LogFile to value /storage/users/anderhva/051220-191547/logs/O10-C1-V3-WS0.log
Set parameter LogToConsole to value 0
Changed value of parameter TimeLimit to 3600.0
   Prev: inf  Min: 0.0  Max: inf  Default: inf
Gurobi Optimizer version 9.0.2 build v9.0.2rc0 (linux64)
Optimize a model with 8532 rows, 111864 columns and 636904 nonzeros
Model fingerprint: 0xbc623559
Variable types: 96 continuous, 111768 integer (111768 binary)
Coefficient statistics:
  Matrix range     [1e+00, 1e+02]
  Objective range  [1e+00, 1e+04]
  Bounds range     [1e+00, 1e+00]
  RHS range        [1e+00, 1e+02]
Presolve removed 598 rows and 3848 columns
Presolve time: 1.77s
Presolved: 7934 rows, 108016 columns, 508976 nonzeros
Variable types: 80 continuous, 107936 integer (107932 binary)

Root simplex log...

Iteration    Objective       Primal Inf.    Dual Inf.      Time
    6911    1.4946310e+03   3.772419e+02   0.000000e+00      5s
   12944    1.5739700e+03   1.788402e+03   0.000000e+00     10s
   17984    1.6184267e+03   1.201218e+03   0.000000e+00     15s
   23034    1.6636875e+03   3.941297e+03   0.000000e+00     20s
   28454    1.7432671e+03   5.190861e+03   0.000000e+00     25s
   33954    1.8046295e+03   2.295777e+03   0.000000e+00     30s
   38514    1.8469290e+03   5.323616e+02   0.000000e+00     35s
   40262    1.8576342e+03   0.000000e+00   0.000000e+00     37s

Root relaxation: objective 1.857634e+03, 40262 iterations, 34.14 seconds

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 2857.89900    0  431 3439.89667 2857.89900  16.9%     -  180s
     0     0 2866.95450    0  421 3439.89667 2866.95450  16.7%     -  182s
     0     0 2866.95450    0  417 3439.89667 2866.95450  16.7%     -  186s
     0     0 2866.95450    0  122 3439.89667 2866.95450  16.7%     -  218s
     0     0 2866.95450    0  129 3439.89667 2866.95450  16.7%     -  224s
     0     0 2866.95450    0  135 3439.89667 2866.95450  16.7%     -  230s
     0     0 2866.95450    0  260 3439.89667 2866.95450  16.7%     -  234s
     0     0 2866.95450    0  234 3439.89667 2866.95450  16.7%     -  235s
     0     0 2866.95450    0  273 3439.89667 2866.95450  16.7%     -  236s
     0     0 2866.95450    0  268 3439.89667 2866.95450  16.7%     -  236s
     0     0 2866.95450    0  272 3439.89667 2866.95450  16.7%     -  236s
     0     0 2866.95450    0  284 3439.89667 2866.95450  16.7%     -  237s
     0     0 2866.95450    0  245 3439.89667 2866.95450  16.7%     -  239s
     0     0 2866.95450    0  368 3439.89667 2866.95450  16.7%     -  247s
     0     0 2866.95450    0  363 3439.89667 2866.95450  16.7%     -  248s
     0     0 2866.95450    0  364 3439.89667 2866.95450  16.7%     -  249s
     0     0 2866.95450    0  313 3439.89667 2866.95450  16.7%     -  249s
     0     0 2866.95450    0  326 3439.89667 2866.95450  16.7%     -  250s
     0     0 2866.95450    0  359 3439.89667 2866.95450  16.7%     -  250s
     0     0 2866.95450    0  327 3439.89667 2866.95450  16.7%     -  252s
     0     0 2866.95450    0  484 3439.89667 2866.95450  16.7%     -  254s
     0     0 2866.95450    0  514 3439.89667 2866.95450  16.7%     -  257s
H    0     0                    3439.8961713 2866.95450  16.7%     -  271s
     0     0 2866.95450    0  501 3439.89617 2866.95450  16.7%     -  271s
     0     0 2866.95450    0  558 3439.89617 2866.95450  16.7%     -  274s
     0     0 2866.95450    0  560 3439.89617 2866.95450  16.7%     -  275s
     0     0 2866.95450    0  585 3439.89617 2866.95450  16.7%     -  276s
     0     0 2866.95450    0  552 3439.89617 2866.95450  16.7%     -  277s
     0     0 2866.95450    0  523 3439.89617 2866.95450  16.7%     -  278s
     0     0 2866.95450    0  554 3439.89617 2866.95450  16.7%     -  280s
     0     0 2866.95450    0  364 3439.89617 2866.95450  16.7%     -  281s
     0     0 2866.95450    0  568 3439.89617 2866.95450  16.7%     -  281s
     0     0 2866.95450    0  505 3439.89617 2866.95450  16.7%     -  283s
     0     0 2866.95450    0  468 3439.89617 2866.95450  16.7%     -  283s
     0     0 2866.95450    0  546 3439.89617 2866.95450  16.7%     -  285s
     0     0 2866.95450    0  546 3439.89617 2866.95450  16.7%     -  290s
H    0     0                    3439.8961699 2866.95450  16.7%     -  294s
     0     0 2866.95450    0   89 3439.89617 2866.95450  16.7%     -  326s
H    0     0                    3439.8961276 2866.95450  16.7%     -  327s
H    0     0                    3439.8960858 2866.95450  16.7%     -  331s
     0     0 2866.95450    0  151 3439.89609 2866.95450  16.7%     -  331s
     0     0 2866.95450    0  123 3439.89609 2866.95450  16.7%     -  338s
     0     0 2866.95450    0  239 3439.89609 2866.95450  16.7%     -  342s
     0     0 2866.95450    0  208 3439.89609 2866.95450  16.7%     -  345s
     0     0 2866.95450    0  277 3439.89609 2866.95450  16.7%     -  345s
     0     0 2866.95450    0  373 3439.89609 2866.95450  16.7%     -  346s
     0     0 2866.95450    0  272 3439.89609 2866.95450  16.7%     -  346s
     0     0 2866.95450    0  277 3439.89609 2866.95450  16.7%     -  346s
     0     0 2866.95450    0  280 3439.89609 2866.95450  16.7%     -  347s
     0     0 2866.95450    0  293 3439.89609 2866.95450  16.7%     -  347s
     0     0 2866.95450    0  333 3439.89609 2866.95450  16.7%     -  348s
     0     0 2866.95450    0  491 3439.89609 2866.95450  16.7%     -  349s
     0     0 2866.95450    0  443 3439.89609 2866.95450  16.7%     -  350s
     0     0 2866.95450    0  497 3439.89609 2866.95450  16.7%     -  350s
     0     0 2866.95450    0  502 3439.89609 2866.95450  16.7%     -  350s
     0     0 2866.95450    0  377 3439.89609 2866.95450  16.7%     -  352s
     0     0 2866.95450    0  415 3439.89609 2866.95450  16.7%     -  353s
     0     0 2866.95450    0  462 3439.89609 2866.95450  16.7%     -  357s
H    0     0                    3439.8960832 2866.95450  16.7%     -  362s
     0     0 2866.95450    0  526 3439.89608 2866.95450  16.7%     -  363s
     0     0 2866.95450    0  304 3439.89608 2866.95450  16.7%     -  364s
     0     0 2866.95450    0  372 3439.89608 2866.95450  16.7%     -  364s
     0     0 2866.95450    0  618 3439.89608 2866.95450  16.7%     -  366s
     0     0 2866.95450    0  611 3439.89608 2866.95450  16.7%     -  372s
