
Gurobi 9.0.2 (linux64, Python) logging started Sun Dec  6 12:15:03 2020

Using license file /share/apps/gurobi/9.0.2/gurobi_client.lic
Set parameter TokenServer to value 10.1.1.1
Set parameter LogFile to value /storage/users/anderhva/061220-115738/logs/O10-C2-V5-WS0.log
Set parameter LogToConsole to value 0
Changed value of parameter TimeLimit to 3600.0
   Prev: inf  Min: 0.0  Max: inf  Default: inf
Gurobi Optimizer version 9.0.2 build v9.0.2rc0 (linux64)
Optimize a model with 12572 rows, 165276 columns and 941838 nonzeros
Model fingerprint: 0x5cfe1f41
Variable types: 144 continuous, 165132 integer (165132 binary)
Coefficient statistics:
  Matrix range     [1e+00, 1e+02]
  Objective range  [1e+00, 1e+04]
  Bounds range     [1e+00, 1e+00]
  RHS range        [1e+00, 1e+02]
Presolve removed 844 rows and 4974 columns
Presolve time: 2.76s
Presolved: 11728 rows, 160302 columns, 755022 nonzeros
Variable types: 120 continuous, 160182 integer (160176 binary)

Deterministic concurrent LP optimizer: primal and dual simplex
Showing first log only...


Root simplex log...

Iteration    Objective       Primal Inf.    Dual Inf.      Time
       0    1.6466335e+04   2.400000e+01   6.032452e+09      5s
   35606    1.1823725e+03   0.000000e+00   1.024380e+06     10s
   54023    1.2638784e+03   6.020540e+02   0.000000e+00     15s
   58332    1.3367265e+03   1.177553e+03   0.000000e+00     20s
   61932    1.4128767e+03   1.128403e+02   0.000000e+00     25s
Concurrent spin time: 0.00s

Solved with dual simplex

Root relaxation: objective 1.778129e+03, 24528 iterations, 22.92 seconds

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 2593.45199    0  413 3922.68667 2593.45199  33.9%     -  311s
     0     0 2593.62559    0  424 3922.68667 2593.62559  33.9%     -  312s
     0     0 2593.76977    0  425 3922.68667 2593.76977  33.9%     -  312s
     0     0 2601.95996    0  148 3922.68667 2601.95996  33.7%     -  316s
     0     0 2604.40341    0  310 3922.68667 2604.40341  33.6%     -  320s
     0     0 2604.59234    0  454 3922.68667 2604.59234  33.6%     -  322s
     0     0 2604.69273    0  459 3922.68667 2604.69273  33.6%     -  322s
H    0     0                    3882.2700000 2604.69273  32.9%     -  325s
     0     0 2609.95741    0  294 3882.27000 2609.95741  32.8%     -  327s
     0     0 2610.29253    0  393 3882.27000 2610.29253  32.8%     -  340s
     0     0 2610.30574    0  361 3882.27000 2610.30574  32.8%     -  340s
     0     0 2614.15684    0  302 3882.27000 2614.15684  32.7%     -  343s
     0     0 2614.78869    0  339 3882.27000 2614.78869  32.6%     -  345s
     0     0 2615.09324    0  345 3882.27000 2615.09324  32.6%     -  346s
     0     0 2615.22830    0  416 3882.27000 2615.22830  32.6%     -  347s
     0     0 2618.38533    0  393 3882.27000 2618.38533  32.6%     -  351s
     0     0 2618.39941    0  422 3882.27000 2618.39941  32.6%     -  352s
     0     0 2620.43925    0  399 3882.27000 2620.43925  32.5%     -  355s
     0     0 2620.84042    0  370 3882.27000 2620.84042  32.5%     -  357s
     0     0 2621.06264    0  401 3882.27000 2621.06264  32.5%     -  357s
     0     0 2624.54073    0  353 3882.27000 2624.54073  32.4%     -  358s
     0     0 2625.12154    0  369 3882.27000 2625.12154  32.4%     -  359s
     0     0 2626.34706    0  314 3882.27000 2626.34706  32.4%     -  359s
     0     0 2626.63181    0  304 3882.27000 2626.63181  32.3%     -  360s
     0     0 2628.36821    0  315 3882.27000 2628.36821  32.3%     -  362s
     0     0 2628.52967    0  370 3882.27000 2628.52967  32.3%     -  363s
     0     0 2632.47731    0  345 3882.27000 2632.47731  32.2%     -  367s
     0     0 2632.48011    0  413 3882.27000 2632.48011  32.2%     -  368s
     0     0 2633.83246    0  334 3882.27000 2633.83246  32.2%     -  371s
